,Id,Cantidad_Victimas,Fecha,Anio,Mes,Dia,Hora,Franja_Horaria,Lugar_Hecho,Tipo_Calle,Calle,Altura,Barrio,Coordenada x,Coordenada y,Participantes,Victima,Acusado,Hora del día,Dia_Semana,Tipo_Dia
134,20160169,1,2016-12-15,2016,12,15,15:30:00,Tarde,NUÑEZ Y AV RICARDO BALBIN,AVENIDA,NU?EZ,cruce_de_calles,12,-58.47935434,-34.55676497,MOTO-PASAJEROS,MOTO,PASAJEROS,15,Thursday,Dia_de_Semana
135,20160170,1,2016-12-19,2016,12,19,17:10:00,Tarde,AV GRAL PAZ 4500,AVENIDA,"PAZ, GRAL. AV.",4500.0,12,-58.50598256,-34.56379980,MOTO-AUTO,MOTO,AUTO,17,Monday,Dia_de_Semana
136,20160171,1,2016-12-25,2016,12,25,19:00:00,Tarde,AU BUENOS AIRES - LA PLATA Y AU 25 DE MAYO,AUTOPISTA,"HUERGO, ING. AV.",cruce_de_calles,1,-58.36607137,-34.62150748,MOTO-MOTO,MOTO,MOTO,19,Sunday,Fin_de_Semana
137,20160172,1,2016-12-26,2016,12,26,08:00:00,Mañana,AV GARAY Y CASTRO,AVENIDA,"GARAY, JUAN DE AV.",cruce_de_calles,5,-58.41918902,-34.63174259,MOTO-CARGAS,MOTO,CARGAS,8,Monday,Dia_de_Semana
138,20160173,1,2016-12-26,2016,12,26,19:52:00,Tarde,AV DIRECTORIO Y AV SAN PEDRITO,AVENIDA,DIRECTORIO AV.,cruce_de_calles,7,-58.46749188,-34.63551751,MOTO-CARGAS,MOTO,CARGAS,19,Monday,Dia_de_Semana
140,20160175,1,2016-12-27,2016,12,27,08:15:00,Mañana,CNEL RAMON L FALCON Y MEMBRILLAR,CALLE,"FALCON, RAMON L.,CNEL.",cruce_de_calles,7,-58.46064174,-34.62960517,PEATON-BICICLETA,PEATON,BICICLETA,8,Tuesday,Dia_de_Semana
139,20160174,1,2016-12-27,2016,12,27,00:00:00,Madrugada,AUTOPISTA 25 DE MAYO,AUTOPISTA,AUTOPISTA 25 DE MAYO,cruce_de_calles,0,.,.,SD-SD,SD,SD,0,Tuesday,Dia_de_Semana
141,20160176,1,2016-12-28,2016,12,28,01:41:00,Madrugada,AV BELGRANO Y AV PASEO COLON,AVENIDA,BELGRANO AV.,cruce_de_calles,1,-58.36956186,-34.61232875,MOTO-PASAJEROS,MOTO,PASAJEROS,1,Wednesday,Dia_de_Semana
142,20160177,1,2016-12-29,2016,12,29,04:00:00,Madrugada,ARENALES 3319,CALLE,ARENALES,3319.0,14,-58.40966671,-34.58788235,PEATON-AUTO,PEATON,AUTO,4,Thursday,Dia_de_Semana
143,20160178,1,2016-12-30,2016,12,30,16:18:00,Tarde,REPUBLICA BOLIVARIANA DE VENEZUELA Y SAAVEDRA,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA,cruce_de_calles,3,-58.40288226,-34.61544091,MULTIPLE,PEATON,MULTIPLE,16,Friday,Dia_de_Semana
144,20170001,1,2017-01-02,2017,1,2,01:00:00,Madrugada,AV. JUAN B JUSTO Y ACHUPALLAS,AVENIDA,"JUSTO, JUAN B. AV.",cruce_de_calles,11,-58.46594230,-34.61028571,MOTO-CARGAS,MOTO,CARGAS,1,Monday,Dia_de_Semana
145,20170003,1,2017-01-05,2017,1,5,03:10:00,Madrugada,OLAVARRIA Y AV. VELEZ SARSFIELD,AVENIDA,OLAVARRIA,cruce_de_calles,4,-58.38957669,-34.64410277,CARGAS-CARGAS,CARGAS,CARGAS,3,Thursday,Dia_de_Semana
146,20170007,1,2017-01-11,2017,1,11,17:00:00,Tarde,LIMA Y MEXICO,CALLE,LIMA,cruce_de_calles,1,-58.38161660,-34.61529543,MULTIPLE,PEATON,MULTIPLE,17,Wednesday,Dia_de_Semana
147,20170008,1,2017-01-16,2017,1,16,00:40:00,Madrugada,JOSE A CABRERA Y BONPLAND,CALLE,"CABRERA, JOSE A.",cruce_de_calles,14,-58.43917004,-34.58494351,MOTO-PASAJEROS,MOTO,PASAJEROS,0,Monday,Dia_de_Semana
